# packages in environment at C:\Users\mmaresch\miniconda3\envs\py313_win_intel_multi:
#
# Name                                       Version          Build               Channel
absolufy-imports                             0.3.1            pypi_0              pypi
accelerate                                   1.15.0           pypi_0              pypi
agno                                         3.0.10           pypi_0              pypi
agnoctl                                      0.2.1            pypi_0              pypi
aiohappyeyeballs                             2.7.1            pypi_0              pypi
aiohttp                                      3.14.3           pypi_0              pypi
aiosignal                                    1.4.0            pypi_0              pypi
aiosqlite                                    0.22.1           pypi_0              pypi
albucore                                     0.2.18           pypi_0              pypi
alembic                                      1.20.0           pypi_0              pypi
altair                                       6.3.0            pypi_0              pypi
annotated-doc                                0.0.5            pypi_0              pypi
annotated-types                              0.8.0            pypi_0              pypi
ansicon                                      1.89.0           pypi_0              pypi
anthropic                                    1.7.0            pypi_0              pypi
antlr4-python3-runtime                       4.9.3            pypi_0              pypi
anyio                                        4.15.1           pypi_0              pypi
arena-api                                    2.9.5            pypi_0              pypi
argon2-cffi                                  25.1.0           pypi_0              pypi
argon2-cffi-bindings                         26.1.0           pypi_0              pypi
arrow                                        1.4.0            pypi_0              pypi
asgiref                                      3.12.1           pypi_0              pypi
ast-serialize                                0.11.2           pypi_0              pypi
asttokens                                    3.0.2            pypi_0              pypi
async-lru                                    2.3.0            pypi_0              pypi
async-timeout                                5.0.1            pypi_0              pypi
attrs                                        26.1.0           pypi_0              pypi
authlib                                      1.8.0            pypi_0              pypi
autocommand                                  2.2.2            pypi_0              pypi
azure-core                                   1.41.0           pypi_0              pypi
azure-identity                               1.25.3           pypi_0              pypi
babel                                        2.18.0           pypi_0              pypi
backoff                                      2.2.1            pypi_0              pypi
backports-tarfile                            1.2.0            pypi_0              pypi
banks                                        2.5.1            pypi_0              pypi
bcrypt                                       5.0.0            pypi_0              pypi
beautifulsoup4                               4.15.0           pypi_0              pypi
bleach                                       6.4.0            pypi_0              pypi
blessed                                      1.50.0           pypi_0              pypi
blinker                                      1.9.0            pypi_0              pypi
braincube-connector                          2.8.0            pypi_0              pypi
brotli                                       1.2.0            pypi_0              pypi
build                                        1.6.1            pypi_0              pypi
bzip2                                        1.0.8            h2bbff1b_6
ca-certificates                              2026.8.13        haa95532_0
cachetools                                   7.2.0            pypi_0              pypi
certifi                                      2026.7.22        pypi_0              pypi
cffi                                         2.1.1            pypi_0              pypi
chardet                                      7.6.0            pypi_0              pypi
charset-normalizer                           3.5.1            pypi_0              pypi
chroma-hnswlib                               0.7.6            pypi_0              pypi
chromadb                                     1.5.9            pypi_0              pypi
click                                        8.5.0            pypi_0              pypi
click-default-group                          1.2.4            pypi_0              pypi
click-option-group                           0.5.7            pypi_0              pypi
cloudpickle                                  3.1.2            pypi_0              pypi
clr-loader                                   0.3.1            pypi_0              pypi
colorama                                     0.4.6            pypi_0              pypi
coloredlogs                                  15.0.1           pypi_0              pypi
comm                                         0.2.3            pypi_0              pypi
condense-json                                1.1              pypi_0              pypi
contourpy                                    1.4.0            pypi_0              pypi
cryptography                                 50.0.1           pypi_0              pypi
curl-cffi                                    0.16.3           pypi_0              pypi
cycler                                       0.12.1           pypi_0              pypi
cython                                       3.3.0            pypi_0              pypi
dataclasses-json                             0.6.7            pypi_0              pypi
datasets                                     5.0.1            pypi_0              pypi
db-dtypes                                    1.7.1            pypi_0              pypi
ddgs                                         9.16.0           pypi_0              pypi
debugpy                                      1.8.22           pypi_0              pypi
decorator                                    5.3.1            pypi_0              pypi
defusedxml                                   0.7.1            pypi_0              pypi
deprecated                                   1.3.1            pypi_0              pypi
deprecation                                  2.1.0            pypi_0              pypi
dill                                         0.4.1            pypi_0              pypi
dirtyjson                                    1.0.8            pypi_0              pypi
diskcache                                    5.6.3            pypi_0              pypi
distro                                       1.9.0            pypi_0              pypi
dnspython                                    2.8.0            pypi_0              pypi
docstring-parser                             0.18.0           pypi_0              pypi
docutils                                     0.23             pypi_0              pypi
durationpy                                   0.11             pypi_0              pypi
einops                                       0.8.2            pypi_0              pypi
email-validator                              2.3.0            pypi_0              pypi
